cruise,lter_station,cast,niskin,date,latitude,longitude,depth
EN608,L4,8,24,2018-02-01 19:31:59,40.69266,-70.88421,4.947424130622216
EN608,L4,26,1,2018-02-04 12:43:22,40.69415,-70.88094,4.951393963430519
EN608,L5,9,1,2018-02-01 23:38:22,40.52355,-70.89454,71.17357014469817
EN608,L5,9,2,2018-02-01 23:38:30,40.52352,-70.89457,71.33823307950566
EN608,L5,9,3,2018-02-01 23:41:18,40.52313,-70.89522,45.91310460619611
EN608,L5,9,4,2018-02-01 23:41:26,40.52312,-70.89524,45.542070774238425
EN608,L5,9,5,2018-02-01 23:41:33,40.52309,-70.89526,44.55198255133346
EN608,L5,9,6,2018-02-01 23:41:40,40.523070000000004,-70.89528,44.39821090471889
EN608,L5,9,7,2018-02-01 23:43:59,40.52268,-70.89572,29.884623684774088
EN608,L5,9,8,2018-02-01 23:44:05,40.52268,-70.89574,29.222861323364388
EN608,L5,9,9,2018-02-01 23:44:13,40.522659999999995,-70.89578,29.43022037447544
EN608,L5,9,10,2018-02-01 23:44:22,40.52264,-70.8958,29.336958434903067
EN608,L5,9,11,2018-02-01 23:46:38,40.52236,-70.89628,14.142631884287145
EN608,L5,9,12,2018-02-01 23:46:46,40.52234,-70.8963,14.822302961751321
EN608,L5,9,13,2018-02-01 23:46:52,40.52232,-70.89633,14.500823784646759
EN608,L5,9,14,2018-02-01 23:46:59,40.5223,-70.89631999999999,14.480979374444056
EN608,L5,9,15,2018-02-01 23:48:59,40.522090000000006,-70.89656,5.100311139364893
EN608,L5,9,16,2018-02-01 23:49:07,40.522079999999995,-70.8966,4.998107709639905
EN608,L5,9,17,2018-02-01 23:49:13,40.52205,-70.89662,4.878043421136086
EN608,L5,9,18,2018-02-01 23:49:19,40.522040000000004,-70.89662,4.785762556451324
EN608,L5,25,1,2018-02-04 10:59:53,40.5274,-70.88318000000001,4.527771101742147
EN608,L6,12,1,2018-02-02 09:18:54,40.35838,-70.88038,88.0769557190742
EN608,L6,12,2,2018-02-02 09:19:39,40.35821,-70.88032,89.60245976579523
EN608,L6,12,3,2018-02-02 09:20:12,40.35808,-70.88028,88.55504078411299
EN608,L6,12,4,2018-02-02 09:22:28,40.3577,-70.8803,75.03928479187219
EN608,L6,12,5,2018-02-02 09:22:37,40.35764,-70.88031,75.35472210953058
EN608,L6,12,6,2018-02-02 09:22:45,40.35764,-70.8803,75.22973757007406
EN608,L6,12,7,2018-02-02 09:25:15,40.35722,-70.88016,55.5705054819854
EN608,L6,12,8,2018-02-02 09:25:23,40.35719,-70.88016,54.5913632925132
EN608,L6,12,9,2018-02-02 09:25:32,40.35716,-70.88014,54.97131466769335
EN608,L6,12,10,2018-02-02 09:25:40,40.35715,-70.88013000000001,54.69850369945207
EN608,L6,12,11,2018-02-02 09:27:54,40.356790000000004,-70.88002,35.582974050317006
EN608,L6,12,12,2018-02-02 09:28:04,40.35675,-70.88002,35.264499049676964
EN608,L6,12,13,2018-02-02 09:28:12,40.35674,-70.88004000000001,35.12560014030375
EN608,L6,12,14,2018-02-02 09:30:24,40.3565,-70.88006,14.597289026485578
EN608,L6,12,15,2018-02-02 09:30:32,40.35648,-70.88006,14.732232933994592
EN608,L6,12,16,2018-02-02 09:30:39,40.35646,-70.88006,14.576452091657627
